Drinkwater,CHE,MID,0,0,0,0,0,0,0,4.6,-0.4,0.1
Driscoll-Glennon,BUR,DEF,0,0,0,0,0,0,0,4,0,0
Dubravka,NEW,GKP,3420,0,0,11,3.4,131,10,5,0,1
Duffy,BHA,DEF,3087,5,2,7,3.3,115,9,4.7,0.2,8.1
Duhaney,HUD,DEF,45,0,0,0,1,1,0,4,0,0
Dummett,NEW,DEF,1986,0,0,7,2.6,67,3,4.4,-0.1,0.2
Dunk,BHA,DEF,3151,2,1,7,2.5,91,6,4.4,-0.1,3.4
Durm,HUD,DEF,2049,0,1,3,1.8,49,2,4.4,-0.1,0.1
Ecuele Manga,CAR,DEF,3375,0,1,10,2.6,97,4,4.4,-0.1,0.4
Ederson,MCI,GKP,3420,0,1,20,4.4,169,6,5.7,0.2,22.9
Elliot,NEW,GKP,0,0,0,0,0,0,0,4.3,-0.2,0.1
Elliott,FUL,MID,18,0,0,0,1,2,0,4,0,0.6
Elneny,ARS,MID,377,0,0,0,1.3,10,0,4.2,-0.3,2.2
Elyounoussi,SOU,MID,785,0,0,4,1.8,28,0,6,-0.5,0.1
Emerson,CHE,DEF,660,0,0,2,2.2,22,1,5.2,-0.3,0.2
Enobakhare,WOL,MID,0,0,0,0,0,0,0,4.3,-0.2,0.1
Eriksen,TOT,MID,2770,8,12,8,4.6,161,15,9.2,-0.3,7.7
Etheridge,CAR,GKP,3420,0,0,10,4.1,154,18,4.6,0.1,10.2
Evans,LEI,DEF,1993,1,0,8,3.2,77,3,4.8,-0.2,0.4
Eyoma,TOT,DEF,0,0,0,0,0,0,0,4,0,0.1
Fabianski,WHU,GKP,3420,0,0,7,3.8,143,15,4.7,0.2,14.3
Fabinho,LIV,MID,2011,1,2,11,2.3,65,0,5.5,-0.5,0.6
Fabri,FUL,GKP,180,0,0,0,4,8,2,4.2,-0.3,0.2
Felipe Anderson,WHU,MID,3045,9,6,7,4.3,155,18,6.8,-0.2,8.2
Fellaini,MUN,MID,746,0,2,1,1.9,26,0,4.8,-0.2,0.4
Fernandes,WHU,MID,0,0,0,0,0,0,0,4.5,0,0.1
Fernandinho,MCI,MID,2375,1,3,12,2.7,79,4,5.3,-0.2,2.9
Fern�ndez,NEW,DEF,1482,0,2,3,2.5,47,5,4.4,-0.1,0.2
Firmino,LIV,FWD,2606,12,8,19,4.7,160,24,9.3,-0.2,14.2
Foden,MCI,MID,328,1,0,2,1.9,25,3,4.5,-0.5,0.2
Fonte,FUL,MID,0,0,0,0,0,0,0,4.4,-0.1,0.1
Forster,SOU,GKP,90,0,0,0,2,2,0,4.2,-0.3,0.6
Foster,WAT,GKP,3420,0,0,7,3.4,129,11,4.6,0.1,8.5
Fosu-Mensah,FUL,DEF,791,0,0,1,1.2,14,1,4.5,0,0.3
Foyth,TOT,DEF,888,1,0,3,2.9,35,4,5,0,0.2
Francis,BOU,DEF,1227,0,2,4,2.4,40,0,4.3,-0.2,0.2
Fraser,BOU,MID,3165,7,14,9,4.8,181,23,6.4,0.9,23.7
Fred,MUN,MID,1039,1,2,1,2.4,40,3,5.3,-0.7,1.2
Fredericks,WHU,DEF,1084,1,0,3,2.5,38,4,4.5,-0.5,0.3
Fuchs,LEI,DEF,206,0,0,0,1,3,0,4.1,-0.4,0.4
F�bregas,CHE,MID,175,0,0,0,1,6,0,6.2,-0.3,0.3
Gabbiadini,SOU,FWD,468,1,0,0,1.9,23,3,5.6,-0.4,0.1
Gallagher,SOU,FWD,32,0,0,0,1,4,0,4.5,0,0.1
Garner,MUN,MID,1,0,0,0,1,1,0,4.5,0,0
Gayle,NEW,FWD,0,0,0,0,0,0,0,6,0,0.1
Gazzaniga,TOT,GKP,270,0,0,1,4.3,13,0,4.5,0,0
Ghezzal,LEI,MID,733,1,0,1,1.5,28,2,5,-0.5,0.1
Gibbs-White,WOL,MID,645,0,1,4,1.4,37,0,4.3,-0.2,0.5
Gibson,BUR,DEF,62,1,0,0,6,6,0,4.8,-0.2,0.1
Giles,WOL,MID,0,0,0,0,0,0,0,4.5,0,0
Giroud,CHE,FWD,828,2,4,6,2,55,2,7.7,-0.3,1.9
Gomes,MUN,MID,25,0,0,0,1,2,0,5,0,0
Gomes,WAT,GKP,0,0,0,0,0,0,0,4.2,-0.3,0.3
Gomez,LIV,DEF,1059,0,0,7,3.4,55,2,4.8,-0.2,1
Gosling,BOU,MID,1734,2,2,4,2.2,54,0,4.7,-0.3,0.1
Grant,HUD,FWD,873,3,2,1,3.5,45,5,5,0,0.2
Grant,MUN,GKP,0,0,0,0,0,0,0,4.8,-0.2,0
Gray,LEI,MID,1978,4,1,6,2.5,84,3,5.4,-0.1,0.9
Gray,WAT,FWD,1352,7,2,4,2.9,83,10,5.9,-0.1,1.9
Greenwood,MUN,FWD,115,0,0,0,1.3,4,0,4.5,0,0.2
Gro�,BHA,MID,1864,3,3,3,3.2,80,12,6.7,-0.3,1.5
Guaita,CRY,GKP,1754,0,0,7,4,81,8,4.3,-0.2,2.4
Gudmundsson,BUR,MID,1743,3,7,5,3.2,92,6,5.5,-0.5,1
Guehi,CHE,DEF,0,0,0,0,0,0,0,4,0,0
Guendouzi,ARS,MID,2140,0,0,3,1.4,47,0,4.4,-0.1,1.6
Gueye,EVE,MID,2821,0,2,13,2.4,78,0,4.7,-0.3,0.3
Gunn,SOU,GKP,1080,0,0,3,3.9,47,4,4.3,-0.2,1.1
Gunnarsson,CAR,MID,2266,1,1,6,2.3,65,3,4.4,-0.1,0.6
Gyokeres,BHA,FWD,0,0,0,0,0,0,0,4.5,0,0.1
G�ndogan,MCI,MID,2129,6,3,13,3.6,113,10,5.4,-0.1,2.3
Hadergjonaj,HUD,DEF,1837,0,0,4,2.1,50,1,4.3,-0.2,0.1
Halford,CAR,DEF,0,0,0,0,0,0,0,4,0,0
Hamer,HUD,GKP,552,0,0,0,1.3,9,0,3.9,-0.1,5.3
Harris,CAR,MID,365,1,1,1,1.8,24,0,4.5,0,0
Hart,BUR,GKP,1710,0,0,4,3.6,69,7,4.2,-0.3,4.4
Hause,WOL,DEF,0,0,0,0,0,0,0,4,0,0.2
Hayden,NEW,MID,1857,1,4,7,2.8,69,5,4.3,-0.2,1.4
Hazard,CHE,MID,2918,16,15,12,6.4,238,35,11,0.5,27.2
Healey,CAR,FWD,49,0,0,0,1,3,0,4.5,0,0.1
Heaton,BUR,GKP,1710,0,0,4,3.1,58,4,4.8,-0.2,0.5
Hemed,BHA,FWD,0,0,0,0,0,0,0,4.9,-0.1,0.1
Henderson,LIV,MID,1976,1,3,12,2.4,76,2,5.3,-0.2,0.7
Hendrick,BUR,MID,2058,2,2,4,2.3,73,3,5.2,-0.3,0.2
Hennessey,CRY,GKP,1575,0,0,5,3.7,67,6,4.4,-0.1,2.4
Herrera,MUN,MID,1397,2,3,5,2.8,62,6,5,0,0.5
Higua�n,CHE,FWD,1084,5,0,5,3.8,53,6,9,-0.5,1.5
