name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Sessegnon,TOT,MID,5.4,Available,341,9,0,1.5,0.1
Nkoudou,TOT,MID,5,NotAvail,2,1,0,1,0
Whiteman,TOT,GKP,4,Available,0,0,0,0,0.5
Vorm,TOT,GKP,4.3,Available,0,0,0,0,0
Austin,TOT,GKP,4,Available,0,0,0,0,0.2
Tanganga,TOT,DEF,4,Available,180,7,0,3.5,1.4
Fernandes,TOT,MID,5,Available,25,2,0,1,0
Holebas,WAT,DEF,4.6,Available,1004,16,0,1.3,0.7
Kabasele,WAT,DEF,4.3,Available,1125,47,3,3.4,0.5
Masina,WAT,DEF,4.3,Available,771,30,1,2.5,0.1
Mariappa,WAT,DEF,4.2,Available,1046,24,1,1.8,0.3
Kiko Femenía,WAT,DEF,4.2,Injured,1344,29,0,1.7,0.5
Cathcart,WAT,DEF,4.4,Available,1903,65,3,3,3.3
Janmaat,WAT,DEF,4,Injured,606,36,7,4.5,0.6
Navarro,WAT,DEF,3.9,NotAvail,0,0,0,0,0.3
Prödl,WAT,DEF,3.9,Injured,56,1,0,1,1.1
Deeney,WAT,FWD,6.3,Available,1083,48,8,3.7,2
Deulofeu,WAT,FWD,6.1,Available,1805,78,9,3.2,3
Gray,WAT,FWD,5.6,Available,706,35,2,1.8,0.4
Success,WAT,FWD,4.8,Available,50,4,0,1,0.3
Foster,WAT,GKP,4.9,Available,2160,98,15,4.1,5.1
Dahlberg,WAT,GKP,4.3,Available,0,0,0,0,0.1
Doucouré,WAT,MID,5.7,Available,2006,73,7,3.2,2.5
Pereyra,WAT,MID,5.6,Available,971,37,0,2.1,0.6
Hughes,WAT,MID,5.3,Injured,1154,42,3,2.5,0.3
Cleverley,WAT,MID,4.8,Injured,645,24,2,2.7,0.1
Sema,WAT,MID,4.8,NotAvail,0,0,0,0,0
Capoue,WAT,MID,4.8,Available,1688,46,2,2.4,0.3
Chalobah,WAT,MID,4.4,Doubtful,714,26,2,2,0.2
Quina,WAT,MID,4.4,Available,18,4,0,1,0.1
Dawson,WAT,DEF,4.8,Available,1459,36,0,1.9,0.2
Welbeck,WAT,FWD,5.8,Doubtful,208,7,0,1.4,0.1
Gomes,WAT,GKP,4.4,Available,0,0,0,0,0.2
Sarr,WAT,MID,6.2,Injured,1029,56,2,3.5,0.8
Foulquier,WAT,DEF,4,NotAvail,57,1,0,0.3,0.2
Dele-Bashiru,WAT,MID,4.5,Available,0,0,0,0,0
